Order_ID,City,Order_Date,Category,Amount,Delivery_Time_Min,Delivery_Status,Customer_Rating,Delivery_Partner,Payment_Method
O-100095,Chennai,2024-01-04 23:00:00,Beverages,545,13,On-Time,5,DP-025,COD
O-100096,Chennai,2024-01-05 00:00:00,Fruits & Veg,590,16,Late,5,DP-042,Card
O-100097,Hyderabad,2024-01-05 01:00:00,Snacks,467,23,Late,2,DP-024,UPI
O-100098,Bangalore,2024-01-05 02:00:00,Snacks,705,18,On-Time,3,DP-043,UPI
O-100099,Hyderabad,2024-01-05 03:00:00,Beverages,682,14,On-Time,3,DP-017,Card
O-100100,Hyderabad,2024-01-05 04:00:00,Dairy,1054,17,On-Time,4,DP-008,UPI
O-100101,Bangalore,2024-01-05 05:00:00,Bakery,508,17,On-Time,4,DP-045,COD
O-100102,Bangalore,2024-01-05 06:00:00,Dairy,614,32,On-Time,5,DP-027,Card
O-100103,Bangalore,2024-01-05 07:00:00,Household,352,27,Late,2,DP-018,Card
O-100104,Bangalore,2024-01-05 08:00:00,Household,307,25,Cancel,3,DP-027,Card
O-100105,Chennai,2024-01-05 09:00:00,Bakery,1188,31,Cancel,2,DP-022,Card
O-100106,Delhi,2024-01-05 10:00:00,Beverages,436,27,On-Time,1,DP-016,UPI
O-100107,Delhi,2024-01-05 11:00:00,Bakery,100,16,Late,2,DP-002,Card
O-100108,Bangalore,2024-01-05 12:00:00,Snacks,1123,22,On-Time,1,DP-005,Card
O-100109,Delhi,2024-01-05 13:00:00,Household,581,11,On-Time,4,DP-018,UPI
O-100110,Delhi,2024-01-05 14:00:00,Fruits & Veg,341,15,On-Time,4,DP-003,Card
O-100111,Bangalore,2024-01-05 15:00:00,Fruits & Veg,535,16,On-Time,5,DP-027,UPI
O-100112,Delhi,2024-01-05 16:00:00,Beverages,530,20,Late,2,DP-017,UPI
O-100113,Hyderabad,2024-01-05 17:00:00,Snacks,1166,16,On-Time,2,DP-016,Card
O-100114,Mumbai,2024-01-05 18:00:00,Dairy,1081,33,On-Time,1,DP-006,COD
O-100115,Mumbai,2024-01-05 19:00:00,Snacks,937,11,On-Time,4,DP-007,Card
O-100116,Bangalore,2024-01-05 20:00:00,Fruits & Veg,565,24,On-Time,1,DP-050,COD
O-100117,Chennai,2024-01-05 21:00:00,Fruits & Veg,1147,23,On-Time,4,DP-014,UPI
O-100118,Bangalore,2024-01-05 22:00:00,Household,638,22,On-Time,1,DP-038,COD
O-100119,Chennai,2024-01-05 23:00:00,Snacks,290,10,On-Time,4,DP-040,Card
O-100120,Mumbai,2024-01-06 00:00:00,Snacks,633,32,On-Time,1,DP-015,Card
O-100121,Bangalore,2024-01-06 01:00:00,Fruits & Veg,233,27,Late,4,DP-047,COD
O-100122,Pune,2024-01-06 02:00:00,Dairy,563,12,On-Time,1,DP-047,Card
O-100123,Hyderabad,2024-01-06 03:00:00,Beverages,760,30,On-Time,2,DP-048,COD
O-100124,Delhi,2024-01-06 04:00:00,Beverages,868,12,On-Time,5,DP-033,UPI
O-100125,Chennai,2024-01-06 05:00:00,Snacks,79,27,On-Time,1,DP-043,COD
O-100126,Pune,2024-01-06 06:00:00,Beverages,435,22,On-Time,5,DP-027,COD
O-100127,Delhi,2024-01-06 07:00:00,Fruits & Veg,533,25,On-Time,2,DP-029,COD
O-100128,Delhi,2024-01-06 08:00:00,Fruits & Veg,322,22,Late,2,DP-037,COD
O-100129,Bangalore,2024-01-06 09:00:00,Snacks,1020,9,On-Time,4,DP-005,UPI
O-100130,Delhi,2024-01-06 10:00:00,Snacks,496,20,Late,5,DP-029,UPI
O-100131,Hyderabad,2024-01-06 11:00:00,Household,89,11,Cancel,3,DP-032,UPI
O-100132,Pune,2024-01-06 12:00:00,Snacks,810,17,On-Time,4,DP-006,COD
O-100133,Delhi,2024-01-06 13:00:00,Dairy,351,20,On-Time,5,DP-002,UPI
O-100134,Bangalore,2024-01-06 14:00:00,Beverages,527,17,On-Time,1,DP-006,Card
O-100135,Hyderabad,2024-01-06 15:00:00,Snacks,672,16,Cancel,1,DP-046,UPI
O-100136,Mumbai,2024-01-06 16:00:00,Bakery,520,15,Late,2,DP-043,COD
O-100137,Pune,2024-01-06 17:00:00,Household,284,10,On-Time,3,DP-004,Card
O-100138,Delhi,2024-01-06 18:00:00,Bakery,788,23,Late,1,DP-029,COD
O-100139,Bangalore,2024-01-06 19:00:00,Fruits & Veg,376,21,On-Time,5,DP-025,Card
O-100140,Mumbai,2024-01-06 20:00:00,Beverages,77,16,Cancel,5,DP-009,COD
O-100141,Mumbai,2024-01-06 21:00:00,Snacks,1064,28,Cancel,1,DP-003,COD
O-100142,Chennai,2024-01-06 22:00:00,Bakery,1191,18,On-Time,5,DP-026,Card
O-100143,Hyderabad,2024-01-06 23:00:00,Beverages,594,10,On-Time,5,DP-048,UPI
O-100144,Delhi,2024-01-07 00:00:00,Fruits & Veg,567,12,On-Time,2,DP-043,Card
O-100145,Bangalore,2024-01-07 01:00:00,Dairy,694,17,On-Time,3,DP-027,Card
O-100146,Chennai,2024-01-07 02:00:00,Household,405,20,Late,2,DP-036,Card
O-100147,Hyderabad,2024-01-07 03:00:00,Beverages,407,11,On-Time,3,DP-032,Card
O-100148,Chennai,2024-01-07 04:00:00,Beverages,124,31,On-Time,5,DP-001,Card
O-100149,Pune,2024-01-07 05:00:00,Dairy,937,20,On-Time,3,DP-016,COD
O-100150,Hyderabad,2024-01-07 06:00:00,Beverages,346,19,Cancel,5,DP-048,COD
O-100151,Hyderabad,2024-01-07 07:00:00,Fruits & Veg,654,12,On-Time,5,DP-011,UPI
O-100152,Delhi,2024-01-07 08:00:00,Fruits & Veg,634,17,On-Time,2,DP-026,UPI
O-100153,Hyderabad,2024-01-07 09:00:00,Dairy,770,31,On-Time,2,DP-040,Card
O-100154,Chennai,2024-01-07 10:00:00,Household,1188,16,Cancel,4,DP-001,UPI
O-100155,Hyderabad,2024-01-07 11:00:00,Snacks,520,27,Late,1,DP-026,UPI
O-100156,Delhi,2024-01-07 12:00:00,Bakery,1091,14,On-Time,4,DP-028,Card
O-100157,Delhi,2024-01-07 13:00:00,Snacks,431,9,On-Time,4,DP-009,COD
O-100158,Pune,2024-01-07 14:00:00,Beverages,348,29,On-Time,3,DP-044,COD
O-100159,Chennai,2024-01-07 15:00:00,Bakery,1117,31,On-Time,5,DP-022,UPI
O-100160,Mumbai,2024-01-07 16:00:00,Dairy,385,30,On-Time,5,DP-008,COD
O-100161,Mumbai,2024-01-07 17:00:00,Dairy,944,14,Late,5,DP-049,COD
O-100162,Hyderabad,2024-01-07 18:00:00,Household,960,15,On-Time,1,DP-042,UPI
O-100163,Pune,2024-01-07 19:00:00,Bakery,228,14,Late,3,DP-027,Card
O-100164,Bangalore,2024-01-07 20:00:00,Fruits & Veg,694,28,On-Time,3,DP-039,UPI
O-100165,Hyderabad,2024-01-07 21:00:00,Bakery,957,30,On-Time,5,DP-019,UPI
O-100166,Pune,2024-01-07 22:00:00,Beverages,871,21,On-Time,4,DP-025,UPI
O-100167,Chennai,2024-01-07 23:00:00,Fruits & Veg,199,33,On-Time,1,DP-038,Card
O-100168,Chennai,2024-01-08 00:00:00,Dairy,693,26,On-Time,4,DP-021,Card
O-100169,Chennai,2024-01-08 01:00:00,Bakery,319,12,On-Time,2,DP-024,Card
O-100170,Chennai,2024-01-08 02:00:00,Snacks,922,30,On-Time,3,DP-024,Card
O-100171,Chennai,2024-01-08 03:00:00,Household,524,32,On-Time,3,DP-019,UPI
O-100172,Pune,2024-01-08 04:00:00,Snacks,1004,25,On-Time,4,DP-050,COD
O-100173,Pune,2024-01-08 05:00:00,Household,594,27,Cancel,1,DP-047,UPI
O-100174,Delhi,2024-01-08 06:00:00,Beverages,436,19,On-Time,3,DP-002,Card
O-100175,Mumbai,2024-01-08 07:00:00,Snacks,82,30,Late,4,DP-014,COD
O-100176,Chennai,2024-01-08 08:00:00,Bakery,552,24,On-Time,1,DP-032,UPI
O-100177,Bangalore,2024-01-08 09:00:00,Bakery,569,20,Late,4,DP-042,COD
O-100178,Pune,2024-01-08 10:00:00,Snacks,907,9,On-Time,1,DP-032,Card
O-100179,Bangalore,2024-01-08 11:00:00,Bakery,1137,32,Late,5,DP-028,COD
O-100180,Bangalore,2024-01-08 12:00:00,Beverages,667,20,On-Time,1,DP-048,COD
O-100181,Bangalore,2024-01-08 13:00:00,Fruits & Veg,261,33,On-Time,2,DP-039,Card
O-100182,Delhi,2024-01-08 14:00:00,Beverages,828,14,On-Time,5,DP-040,COD
O-100183,Pune,2024-01-08 15:00:00,Household,167,17,On-Time,4,DP-042,UPI
O-100184,Bangalore,2024-01-08 16:00:00,Beverages,160,30,On-Time,5,DP-047,COD
O-100185,Chennai,2024-01-08 17:00:00,Household,1142,13,On-Time,5,DP-040,UPI
O-100186,Hyderabad,2024-01-08 18:00:00,Bakery,211,10,On-Time,4,DP-013,COD
O-100187,Bangalore,2024-01-08 19:00:00,Fruits & Veg,495,33,Late,4,DP-012,COD
O-100188,Delhi,2024-01-08 20:00:00,Bakery,148,10,On-Time,2,DP-008,Card
O-100189,Pune,2024-01-08 21:00:00,Dairy,245,25,On-Time,4,DP-015,Card
O-100190,Delhi,2024-01-08 22:00:00,Bakery,244,18,On-Time,3,DP-026,UPI
O-100191,Bangalore,2024-01-08 23:00:00,Household,946,29,On-Time,3,DP-012,Card
O-100192,Pune,2024-01-09 00:00:00,Bakery,396,27,On-Time,2,DP-043,Card
O-100193,Hyderabad,2024-01-09 01:00:00,Bakery,530,12,On-Time,1,DP-046,Card
O-100194,Bangalore,2024-01-09 02:00:00,Fruits & Veg,1018,26,Cancel,1,DP-027,Card
O-100195,Delhi,2024-01-09 03:00:00,Bakery,864,29,Late,3,DP-018,Card
O-100196,Mumbai,2024-01-09 04:00:00,Fruits & Veg,687,34,Late,4,DP-045,UPI
O-100197,Chennai,2024-01-09 05:00:00,Snacks,963,26,On-Time,2,DP-036,UPI
O-100198,Delhi,2024-01-09 06:00:00,Dairy,423,22,Late,1,DP-049,Card
O-100199,Pune,2024-01-09 07:00:00,Fruits & Veg,84,23,On-Time,1,DP-027,Card
O-100200,Bangalore,2024-01-09 08:00:00,Household,814,31,On-Time,5,DP-009,UPI
O-100201,Chennai,2024-01-09 09:00:00,Snacks,741,16,On-Time,3,DP-039,COD
O-100202,Bangalore,2024-01-09 10:00:00,Fruits & Veg,620,11,On-Time,4,DP-001,UPI
O-100203,Pune,2024-01-09 11:00:00,Fruits & Veg,203,22,On-Time,2,DP-007,COD
O-100204,Bangalore,2024-01-09 12:00:00,Dairy,675,32,On-Time,1,DP-026,Card
O-100205,Mumbai,2024-01-09 13:00:00,Household,679,19,On-Time,5,DP-007,Card
O-100206,Chennai,2024-01-09 14:00:00,Beverages,401,30,On-Time,3,DP-007,UPI
O-100207,Chennai,2024-01-09 15:00:00,Beverages,1054,10,On-Time,3,DP-008,Card
O-100208,Pune,2024-01-09 16:00:00,Fruits & Veg,478,30,On-Time,2,DP-016,COD
O-100209,Mumbai,2024-01-09 17:00:00,Bakery,703,21,On-Time,1,DP-003,COD
O-100210,Delhi,2024-01-09 18:00:00,Household,792,24,On-Time,2,DP-045,UPI
O-100211,Bangalore,2024-01-09 19:00:00,Snacks,1115,26,Late,2,DP-010,COD
O-100212,Hyderabad,2024-01-09 20:00:00,Bakery,348,13,On-Time,5,DP-050,UPI
O-100213,Bangalore,2024-01-09 21:00:00,Bakery,759,11,On-Time,3,DP-007,UPI
O-100214,Bangalore,2024-01-09 22:00:00,Household,190,14,On-Time,4,DP-021,COD
O-100215,Delhi,2024-01-09 23:00:00,Fruits & Veg,935,26,On-Time,3,DP-037,COD
O-100216,Bangalore,2024-01-10 00:00:00,Fruits & Veg,767,24,Late,3,DP-031,COD
O-100217,Mumbai,2024-01-10 01:00:00,Fruits & Veg,1189,32,On-Time,5,DP-023,COD
O-100218,Mumbai,2024-01-10 02:00:00,Fruits & Veg,1180,23,On-Time,4,DP-027,COD
O-100219,Chennai,2024-01-10 03:00:00,Beverages,398,22,Late,1,DP-022,COD
O-100220,Pune,2024-01-10 04:00:00,Fruits & Veg,1035,29,On-Time,4,DP-039,COD
O-100221,Hyderabad,2024-01-10 05:00:00,Beverages,188,15,On-Time,1,DP-027,Card
O-100222,Bangalore,2024-01-10 06:00:00,Beverages,1156,26,On-Time,4,DP-049,UPI
O-100223,Bangalore,2024-01-10 07:00:00,Fruits & Veg,228,15,On-Time,2,DP-004,UPI
O-100224,Delhi,2024-01-10 08:00:00,Dairy,389,25,On-Time,4,DP-024,COD
O-100225,Pune,2024-01-10 09:00:00,Snacks,1139,23,On-Time,5,DP-023,UPI
O-100226,Mumbai,2024-01-10 10:00:00,Bakery,179,27,Cancel,1,DP-048,COD
O-100227,Hyderabad,2024-01-10 11:00:00,Beverages,428,26,On-Time,3,DP-019,Card
O-100228,Chennai,2024-01-10 12:00:00,Household,1090,17,On-Time,5,DP-042,UPI
O-100229,Mumbai,2024-01-10 13:00:00,Household,807,24,On-Time,1,DP-003,UPI
O-100230,Pune,2024-01-10 14:00:00,Snacks,783,20,Late,1,DP-027,Card
O-100231,Chennai,2024-01-10 15:00:00,Household,725,20,Late,3,DP-003,Card
O-100232,Delhi,2024-01-10 16:00:00,Dairy,898,14,On-Time,2,DP-028,Card
O-100233,Delhi,2024-01-10 17:00:00,Household,1021,34,On-Time,5,DP-017,UPI
O-100234,Bangalore,2024-01-10 18:00:00,Bakery,735,17,On-Time,3,DP-031,UPI
O-100235,Pune,2024-01-10 19:00:00,Bakery,173,9,On-Time,3,DP-010,Card
O-100236,Hyderabad,2024-01-10 20:00:00,Beverages,662,11,On-Time,2,DP-049,Card
O-100237,Chennai,2024-01-10 21:00:00,Fruits & Veg,356,32,On-Time,5,DP-022,Card
O-100238,Mumbai,2024-01-10 22:00:00,Dairy,477,13,On-Time,3,DP-030,Card
O-100239,Pune,2024-01-10 23:00:00,Beverages,774,31,Late,2,DP-049,Card
O-100240,Pune,2024-01-11 00:00:00,Dairy,273,25,On-Time,5,DP-021,COD
O-100241,Delhi,2024-01-11 01:00:00,Fruits & Veg,401,30,Cancel,4,DP-036,Card
O-100242,Bangalore,2024-01-11 02:00:00,Household,228,13,On-Time,1,DP-023,COD
O-100243,Bangalore,2024-01-11 03:00:00,Household,626,32,On-Time,2,DP-038,UPI
O-100244,Chennai,2024-01-11 04:00:00,Fruits & Veg,479,30,On-Time,1,DP-012,UPI
O-100245,Delhi,2024-01-11 05:00:00,Beverages,536,24,On-Time,4,DP-025,COD
O-100246,Pune,2024-01-11 06:00:00,Fruits & Veg,206,21,On-Time,3,DP-020,Card
O-100247,Hyderabad,2024-01-11 07:00:00,Snacks,865,31,On-Time,3,DP-049,UPI
O-100248,Delhi,2024-01-11 08:00:00,Bakery,948,18,On-Time,5,DP-049,Card
O-100249,Chennai,2024-01-11 09:00:00,Beverages,158,33,On-Time,2,DP-042,Card
O-100250,Chennai,2024-01-11 10:00:00,Dairy,828,26,Late,2,DP-007,COD
O-100251,Delhi,2024-01-11 11:00:00,Snacks,702,9,On-Time,5,DP-029,UPI
O-100252,Chennai,2024-01-11 12:00:00,Beverages,295,10,On-Time,1,DP-048,UPI
O-100253,Delhi,2024-01-11 13:00:00,Fruits & Veg,627,18,On-Time,3,DP-029,COD
O-100254,Mumbai,2024-01-11 14:00:00,Fruits & Veg,186,13,Late,3,DP-013,Card
O-100255,Delhi,2024-01-11 15:00:00,Fruits & Veg,689,21,On-Time,2,DP-003,Card
O-100256,Delhi,2024-01-11 16:00:00,Fruits & Veg,998,26,On-Time,2,DP-002,UPI
O-100257,Chennai,2024-01-11 17:00:00,Dairy,549,33,On-Time,5,DP-016,COD
O-100258,Chennai,2024-01-11 18:00:00,Snacks,910,23,On-Time,4,DP-030,COD
O-100259,Bangalore,2024-01-11 19:00:00,Household,345,28,Cancel,1,DP-038,Card
O-100260,Bangalore,2024-01-11 20:00:00,Bakery,495,29,On-Time,4,DP-006,Card
O-100261,Mumbai,2024-01-11 21:00:00,Dairy,781,31,On-Time,4,DP-045,COD
O-100262,Bangalore,2024-01-11 22:00:00,Dairy,114,14,On-Time,2,DP-007,UPI
O-100263,Delhi,2024-01-11 23:00:00,Household,263,34,On-Time,2,DP-005,Card
O-100264,Chennai,2024-01-12 00:00:00,Household,1068,15,Cancel,2,DP-007,COD
O-100265,Bangalore,2024-01-12 01:00:00,Bakery,610,26,On-Time,4,DP-034,COD
O-100266,Bangalore,2024-01-12 02:00:00,Bakery,1102,27,On-Time,1,DP-032,COD
O-100267,Mumbai,2024-01-12 03:00:00,Household,364,23,On-Time,2,DP-049,UPI
O-100268,Pune,2024-01-12 04:00:00,Fruits & Veg,507,29,On-Time,3,DP-013,Card
O-100269,Mumbai,2024-01-12 05:00:00,Dairy,545,34,Late,1,DP-030,Card
O-100270,Delhi,2024-01-12 06:00:00,Beverages,702,14,On-Time,3,DP-025,Card
O-100271,Chennai,2024-01-12 07:00:00,Bakery,353,16,On-Time,1,DP-021,UPI
O-100272,Mumbai,2024-01-12 08:00:00,Bakery,951,20,Late,2,DP-021,Card
O-100273,Bangalore,2024-01-12 09:00:00,Household,655,8,On-Time,5,DP-028,Card
O-100274,Chennai,2024-01-12 10:00:00,Snacks,937,15,On-Time,2,DP-048,Card
O-100275,Chennai,2024-01-12 11:00:00,Beverages,328,31,On-Time,4,DP-020,Card
O-100276,Bangalore,2024-01-12 12:00:00,Beverages,255,29,Cancel,4,DP-034,UPI
O-100277,Mumbai,2024-01-12 13:00:00,Bakery,755,11,On-Time,1,DP-005,COD
O-100278,Bangalore,2024-01-12 14:00:00,Fruits & Veg,899,10,On-Time,4,DP-018,COD
O-100279,Pune,2024-01-12 15:00:00,Snacks,774,34,On-Time,2,DP-039,Card
O-100280,Chennai,2024-01-12 16:00:00,Beverages,640,10,On-Time,3,DP-043,Card
O-100281,Hyderabad,2024-01-12 17:00:00,Bakery,754,29,On-Time,2,DP-011,Card
O-100282,Hyderabad,2024-01-12 18:00:00,Beverages,465,20,On-Time,1,DP-017,UPI
O-100283,Delhi,2024-01-12 19:00:00,Snacks,1183,15,On-Time,4,DP-048,Card
O-100284,Bangalore,2024-01-12 20:00:00,Snacks,286,14,On-Time,3,DP-045,UPI
O-100285,Bangalore,2024-01-12 21:00:00,Dairy,458,34,On-Time,5,DP-022,Card
O-100286,Delhi,2024-01-12 22:00:00,Household,416,8,Late,3,DP-037,Card
O-100287,Delhi,2024-01-12 23:00:00,Household,918,34,Cancel,3,DP-020,COD
O-100288,Delhi,2024-01-13 00:00:00,Bakery,1136,23,On-Time,2,DP-048,Card
